brand,name,price_pln,cpu,gpu,ram,storage,psu,url,image_url
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 7600 8GB, 32GB DDR5, 500GB SSD, 600W, Nadir",5869.0,Ryzen 5 7500F,RX 7600 8GB,32GB DDR5,500GB SSD,600W,"https://sklep.hard-pc.pl/p18276,zestaw-ryzen-5-7500f-rx-7600-8gb-32gb-ddr5-500gb-ssd-600w-nadir.html",https://sklep.hard-pc.pl/galerie/66/3/zestaw-intel-i5-13400f-rtx-40_66308_k.jpg
Hard-PC.pl,"Zestaw | Intel Ultra 5 225F, RTX 5060 TI 8GB, 16GB DDR5, 1TB SSD, 750W, Stellar 8F ARGB Black",5879.0,Intel Ultra 5 225F,RTX 5060 TI 8GB,16GB DDR5,1TB SSD,750W,"https://sklep.hard-pc.pl/p25615,zestaw-intel-ultra-5-225f-rtx-5060-ti-8gb-16gb-ddr5-1tb-ssd-750w-stellar-8f-argb-black.html",https://sklep.hard-pc.pl/galerie/79/7/obudowa-modecom-volcano-stell_79750_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Atron",5889.0,Ryzen 5 7500F,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25210,zestaw-ryzen-5-7500f-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-atron.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-5-7500f-rtx-5060_87076_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 TI 16GB, 16GB DDR5, 500GB SSD, 600W, Signum 300 ARGB",5899.0,Ryzen 5 7500F,RTX 5060 TI 16GB,16GB DDR5,500GB SSD,600W,"https://sklep.hard-pc.pl/p26416,zestaw-ryzen-5-7500f-rtx-5060-ti-16gb-16gb-ddr5-500gb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 7600 8GB, 32GB DDR5, 1TB SSD, 650W, Signum 300 ARGB",5899.0,Ryzen 5 7500F,RX 7600 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p22688,zestaw-ryzen-5-7500f-rx-7600-8gb-32gb-ddr5-1tb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Atron",5929.0,Ryzen 5 7500F,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25486,zestaw-ryzen-5-7500f-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-atron.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-5-7500f-rtx-5060_87076_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5800X, RX 9060 XT 16GB, 32GB DDR4, 1TB SSD, 600W, Signum 300 ARGB",5959.0,Ryzen 7 5800X,RX 9060 XT 16GB,32GB DDR4,1TB SSD,600W,"https://sklep.hard-pc.pl/p25263,zestaw-ryzen-7-5800x-rx-9060-xt-16gb-32gb-ddr4-1tb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Exo ARGB",5969.0,Ryzen 5 7500F,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25495,zestaw-ryzen-5-7500f-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-exo-argb.html",https://sklep.hard-pc.pl/galerie/85/3/zestaw-ryzen-5-7500f-rx-9060_85324_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RX 9060 XT 16GB, 32GB DDR4, 1TB SSD, 600W, ARX 700 ARGB",5979.0,Ryzen 7 5700X,RX 9060 XT 16GB,32GB DDR4,1TB SSD,600W,"https://sklep.hard-pc.pl/p21315,zestaw-ryzen-7-5700x-rx-9060-xt-16gb-32gb-ddr4-1tb-ssd-600w-arx-700-argb.html",https://sklep.hard-pc.pl/galerie/55/6/obudowa-endorfy-arx-700-argb_55620_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RX 9060 XT 16GB, 16GB DDR5, 1TB SSD, 650W, Night hunter",5999.0,Ryzen 5 7500F,RX 9060 XT 16GB,16GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p26157,zestaw-ryzen-5-7500f-rx-9060-xt-16gb-16gb-ddr5-1tb-ssd-650w-night-hunter.html",https://sklep.hard-pc.pl/galerie/76/7/zestaw-ryzen-7-7700-rx-9070-1_76729_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5800X, RTX 5060 Ti 16GB, 16GB DDR4, 500GB SSD, 600W, Signum 300 ARGB",5999.0,Ryzen 7 5800X,RTX 5060 Ti 16GB,16GB DDR4,500GB SSD,600W,"https://sklep.hard-pc.pl/p25273,zestaw-ryzen-7-5800x-rtx-5060-ti-16gb-16gb-ddr4-500gb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw Redragon | Ryzen 7 5700X, RTX 5060 TI 8GB, 32GB DDR4, 1TB SSD, 850W, GC 623 ARGB",6019.0,Ryzen 7 5700X,RTX 5060 TI 8GB,32GB DDR4,1TB SSD,850W,"https://sklep.hard-pc.pl/p25990,zestaw-redragon-ryzen-7-5700x-rtx-5060-ti-8gb-32gb-ddr4-1tb-ssd-850w-gc-623-argb.html",https://sklep.hard-pc.pl/galerie/78/0/obudowa-redragon-gc-623-pro-e_78076_k.jpg
Hard-PC.pl,"Zestaw Redragon | Ryzen 7 5700X, RTX 5060 TI 8GB, 32GB DDR4, 1TB SSD, 850W, GC 625 ARGB",6019.0,Ryzen 7 5700X,RTX 5060 TI 8GB,32GB DDR4,1TB SSD,850W,"https://sklep.hard-pc.pl/p25998,zestaw-redragon-ryzen-7-5700x-rtx-5060-ti-8gb-32gb-ddr4-1tb-ssd-850w-gc-625-argb.html",https://sklep.hard-pc.pl/galerie/78/0/obudowa-redragon-gc-625-pro-v_78077_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 7800X3D, RTX 5060 TI 8GB, 16GB DDR5, 500GB SSD, 650W, Hunter 2",6049.0,Ryzen 7 7800X3D,RTX 5060 TI 8GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22793,zestaw-ryzen-7-7800x3d-rtx-5060-ti-8gb-16gb-ddr5-500gb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, Signum 300 ARGB ARGB",6079.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p20661,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-signum-300-argb-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 750W, Signum 300 ARGB",6099.0,Ryzen 5 7500F,RTX 5060 8GB,32GB DDR5,1TB SSD,750W,"https://sklep.hard-pc.pl/p26384,zestaw-ryzen-5-7500f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-750w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 TI 16GB, 16GB DDR5, 500GB SSD, 600W, Signum 300 ARGB",6099.0,Ryzen 5 7500F,RTX 5060 TI 16GB,16GB DDR5,500GB SSD,600W,"https://sklep.hard-pc.pl/p22620,zestaw-ryzen-5-7500f-rtx-5060-ti-16gb-16gb-ddr5-500gb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
